# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 1.2095 h/Mpc,
# number of wavenumbers equal to 642
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.316333574074e-02       2.648111203009e+04 
       1.328988414054e-02       2.654046918368e+04 
       1.341646860765e-02       2.659697367964e+04 
       1.354308922417e-02       2.665164396156e+04 
       1.366974609554e-02       2.670346966289e+04 
       1.379643935016e-02       2.675301067475e+04 
       1.392316913900e-02       2.680008028600e+04 
       1.404993563526e-02       2.684551785540e+04 
       1.417673903411e-02       2.688842322401e+04 
       1.430357955233e-02       2.692891409590e+04 
       1.443045742818e-02       2.696717778235e+04 
       1.455737292110e-02       2.700338037067e+04 
       1.468432631160e-02       2.703742098749e+04 
       1.481131790104e-02       2.706943204215e+04 
       1.493834801155e-02       2.709922082936e+04 
       1.506541698589e-02       2.712704319138e+04 
       1.519252518741e-02       2.715239242885e+04 
       1.531967299996e-02       2.717624157196e+04 
       1.544686082785e-02       2.719804375102e+04 
       1.557408909586e-02       2.721755010848e+04 
       1.570135824926e-02       2.723522456430e+04 
       1.582866875379e-02       2.725107175985e+04 
       1.595602109573e-02       2.726479514547e+04 
       1.608341578200e-02       2.727677170840e+04 
       1.621085334020e-02       2.728703537959e+04 
       1.633833431873e-02       2.729527766839e+04 
       1.646585928691e-02       2.730185871635e+04 
       1.659342883513e-02       2.730622742451e+04 
       1.672104357501e-02       2.730933663372e+04 
       1.684870413955e-02       2.731061192320e+04 
       1.697641118335e-02       2.730993941620e+04 
       1.710416538280e-02       2.730771020315e+04 
       1.723196743633e-02       2.730358479799e+04 
       1.735981806462e-02       2.729806076129e+04 
       1.748771801087e-02       2.729091735287e+04 
       1.761566804111e-02       2.728215732977e+04 
       1.774366894442e-02       2.727170443041e+04 
       1.787172153333e-02       2.725967841467e+04 
       1.799982664406e-02       2.724607295847e+04 
       1.812798513690e-02       2.723118740739e+04 
       1.825619789659e-02       2.721445952750e+04 
       1.838446583266e-02       2.719652507265e+04 
       1.851278987982e-02       2.717700973611e+04 
       1.864117099840e-02       2.715611815369e+04 
       1.876961017476e-02       2.713374059094e+04 
       1.889810842171e-02       2.711014357108e+04 
       1.902666677902e-02       2.708490558705e+04 
       1.915528631387e-02       2.705843910529e+04 
       1.928396812133e-02       2.703065797554e+04 
       1.941271332492e-02       2.700147716831e+04 
       1.954152307711e-02       2.697103334634e+04 
       1.967039855989e-02       2.693953154609e+04 
       1.979934098533e-02       2.690651921833e+04 
       1.992835159620e-02       2.687226536914e+04 
       2.005743166654e-02       2.683690730616e+04 
       2.018658250234e-02       2.680030939749e+04 
       2.031580544216e-02       2.676255307970e+04 
       2.044510185784e-02       2.672366203255e+04 
       2.057447315517e-02       2.668368926728e+04 
       2.070392077462e-02       2.664249046454e+04 
       2.083344619209e-02       2.660017900033e+04 
       2.096305091969e-02       2.655693780638e+04 
       2.109273650651e-02       2.651240322150e+04 
       2.122250453946e-02       2.646704567285e+04 
       2.135235664411e-02       2.642070782772e+04 
       2.148229448554e-02       2.637309957297e+04 
       2.161231976928e-02       2.632461573891e+04 
       2.174243424220e-02       2.627515357699e+04 
       2.187263969351e-02       2.622476489257e+04 
       2.200293795569e-02       2.617334983155e+04 
       2.213333090555e-02       2.612119475517e+04 
       2.226382046527e-02       2.606805297024e+04 
       2.239440860349e-02       2.601393912582e+04 
       2.252509733640e-02       2.595896950002e+04 
       2.265588872891e-02       2.590347423137e+04 
       2.278678489586e-02       2.584662490651e+04 
       2.291778800319e-02       2.578925710706e+04 
       2.304890026927e-02       2.573106765001e+04 
       2.318012396615e-02       2.567205956676e+04 
       2.331146142092e-02       2.561233707481e+04 
       2.344291501713e-02       2.555178558916e+04 
       2.357448719618e-02       2.549047284191e+04 
       2.370618045882e-02       2.542851476368e+04 
