# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.668441820323e-10       8.767345368994e-15       2.012441808346e-13       7.743566090139e-17       8.085000161204e-11       8.416264968017e-12      -1.036859752260e-14 
   43       1.694088349483e-10       9.484276860897e-15       1.897943543200e-13       8.117658044823e-17       7.702281561317e-11       8.043445662568e-12      -1.164021620517e-14 
   44       1.721182438688e-10       1.023705630619e-14       1.763486158924e-13       8.500958987632e-17       7.343783067294e-11       7.709931975719e-12      -1.196826190229e-14 
   45       1.747422377339e-10       1.102625170067e-14       1.609510859045e-13       8.893470327512e-17       7.007477873442e-11       7.405523746067e-12      -1.122998821376e-14 
   46       1.774297538491e-10       1.185264318862e-14       1.438890295001e-13       9.295182919149e-17       6.691615808319e-11       7.094039547694e-12      -1.020234127929e-14 
   47       1.801566821780e-10       1.271741892787e-14       1.250651088377e-13       9.706076214803e-17       6.394829490448e-11       6.789850871364e-12      -9.013321956918e-15 
   48       1.828375263267e-10       1.362160666635e-14       1.043314875891e-13       1.012612056374e-16       6.115398237839e-11       6.516652636356e-12      -7.631172458371e-15 
   49       1.855470139465e-10       1.456495860388e-14       8.186255243976e-14       1.055527657554e-16       5.852189099805e-11       6.267319497950e-12      -6.326526858047e-15 
   50       1.883724636663e-10       1.554680603152e-14       5.790865003475e-14       1.099349643384e-16       5.603910140388e-11       6.027893434869e-12      -5.424623333930e-15 
   51       1.912275697956e-10       1.656664994205e-14       3.255753660621e-14       1.144072691476e-16       5.369612367507e-11       5.798638371437e-12      -5.005010931939e-15 
   52       1.940097190393e-10       1.762427875873e-14       5.811750116950e-15       1.189690872137e-16       5.148192374036e-11       5.583215808803e-12      -5.064116180759e-15 
   53       1.968007090995e-10       1.872085136044e-14      -2.251852158786e-14       1.236198210300e-16       4.938853695412e-11       5.382746296697e-12      -5.540448922402e-15 
   54       1.997037906812e-10       1.985765981315e-14      -5.262423276617e-14       1.283588441245e-16       4.740683897270e-11       5.196256007347e-12      -6.331583922893e-15 
   55       2.026578783782e-10       2.103461459025e-14      -8.440045433210e-14       1.331855793424e-16       4.553004818180e-11       5.017525718151e-12      -7.264703923683e-15 
   56       2.055769525696e-10       2.225123109976e-14      -1.177193899905e-13       1.380994570979e-16       4.375044272873e-11       4.840251405033e-12      -8.141985874874e-15 
   57       2.084963520777e-10       2.350723893491e-14      -1.527638874233e-13       1.431000055097e-16       4.206233011131e-11       4.666926789856e-12      -8.805116444273e-15 
   58       2.114731839330e-10       2.480236186450e-14      -1.897545219584e-13       1.481867957083e-16       4.045927904035e-11       4.502153538667e-12      -9.132668871985e-15 
   59       2.144984280375e-10       2.613622425284e-14      -2.286377517078e-13       1.533595322689e-16       3.893641771808e-11       4.348317146819e-12      -9.155424227726e-15 
   60       2.175475824739e-10       2.750844574314e-14      -2.693161707772e-13       1.586179917885e-16       3.748825530894e-11       4.206094535906e-12      -8.957093747436e-15 
   61       2.206167220269e-10       2.891892935801e-14      -3.118659311917e-13       1.639621010215e-16       3.611062648856e-11       4.071400376985e-12      -8.644047454673e-15 
   62       2.237083068809e-10       3.036741514052e-14      -3.563542139709e-13       1.693918769988e-16       3.479886548638e-11       3.939564326029e-12      -8.333190238704e-15 
   63       2.268298269455e-10       3.185267426777e-14      -4.025823504926e-13       1.749074825086e-16       3.354936858437e-11       3.810793038625e-12      -8.125790320780e-15 
   64       2.299879934743e-10       3.337344048266e-14      -4.503468019591e-13       1.805091747042e-16       3.235812464121e-11       3.686844472707e-12      -8.106753257348e-15 
   65       2.331798009672e-10       3.492980796159e-14      -4.998032263303e-13       1.861973268162e-16       3.122206807512e-11       3.570343344828e-12      -8.284531273518e-15 
   66       2.364004456878e-10       3.652205036275e-14      -5.511492515502e-13       1.919723982844e-16       3.013777005505e-11       3.463023155624e-12      -8.645640400079e-15 
   67       2.396516503114e-10       3.814951435634e-14      -6.042865862929e-13       1.978349304599e-16       2.910239074795e-11       3.361373349759e-12      -9.177126311928e-15 
   68       2.429358647399e-10       3.981138458708e-14      -6.590683298581e-13       2.037855235355e-16       2.811286465172e-11       3.261231539288e-12      -9.844042967846e-15 
   69       2.462517513575e-10       4.150740864948e-14      -7.155238664414e-13       2.098247665786e-16       2.716723052097e-11       3.163095620025e-12      -1.052387315351e-14 
   70       2.495963071974e-10       4.323749213430e-14      -7.737364175488e-13       2.159532978126e-16       2.626307205526e-11       3.068809365671e-12      -1.105782794805e-14 
   71       2.529670515564e-10       4.500124853806e-14      -8.337678131233e-13       2.221717778695e-16       2.539748516065e-11       2.979883219718e-12      -1.131862564555e-14 
