# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.693480104998e-10       9.006472580009e-15       2.176859130717e-13       7.479209314463e-17       8.180727070524e-11       8.886640483940e-12      -5.695324260228e-15 
   43       1.718519827515e-10       9.734880003933e-15       2.058605172407e-13       7.840203625234e-17       7.789864350361e-11       8.504464305137e-12      -5.880084223134e-15 
   44       1.742613252398e-10       1.049979037461e-14       1.927914631689e-13       8.210003289175e-17       7.423842638275e-11       8.141116960175e-12      -6.858748651751e-15 
   45       1.767485722091e-10       1.130250453476e-14       1.784361277902e-13       8.588620764504e-17       7.080756406938e-11       7.783632941864e-12      -8.632161699656e-15 
   46       1.792634268611e-10       1.214312966490e-14       1.624245472176e-13       8.976061612495e-17       6.758652678348e-11       7.467725758629e-12      -1.026991527289e-14 
   47       1.818013566596e-10       1.302118447149e-14       1.446506757045e-13       9.372323069088e-17       6.456120985601e-11       7.184044194578e-12      -1.146178550795e-14 
   48       1.843852408023e-10       1.393613103174e-14       1.250841525827e-13       9.777396307008e-17       6.171453416235e-11       6.908943206369e-12      -1.214234409357e-14 
   49       1.869821437868e-10       1.488792157747e-14       1.035872923612e-13       1.019126428965e-16       5.903464547447e-11       6.637410233238e-12      -1.228164848560e-14 
   50       1.895576821603e-10       1.587685796700e-14       8.002055285946e-14       1.061390365198e-16       5.650788605466e-11       6.371074136235e-12      -1.187055054463e-14 
   51       1.921593911299e-10       1.690432228591e-14       5.440325865650e-14       1.104528519625e-16       5.412441203497e-11       6.119204563442e-12      -1.093657115708e-14 
   52       1.948382475550e-10       1.797167630971e-14       2.683032909684e-14       1.148537444671e-16       5.187288579359e-11       5.890310597982e-12      -9.562908686088e-15 
   53       1.975437012769e-10       1.907852645813e-14      -2.506374862418e-15       1.193413402095e-16       4.974509226575e-11       5.677813116147e-12      -8.001527427860e-15 
   54       2.002170943408e-10       2.022405790173e-14      -3.342483611319e-14       1.239152298398e-16       4.773164260810e-11       5.472274531282e-12      -6.549090460615e-15 
   55       2.029132967315e-10       2.140815981236e-14      -6.598029128120e-14       1.285750105912e-16       4.582559941020e-11       5.274175853909e-12      -5.394057318962e-15 
   56       2.056958634804e-10       2.263070189979e-14      -1.002447856961e-13       1.333202667702e-16       4.401907277511e-11       5.086665749716e-12      -4.677837129700e-15 
   57       2.085093693993e-10       2.389074311520e-14      -1.360519579119e-13       1.381506245779e-16       4.230618163139e-11       4.912434914692e-12      -4.423841116665e-15 
   58       2.112871561088e-10       2.518732332911e-14      -1.732225524922e-13       1.430657215082e-16       4.068027819426e-11       4.752293889370e-12      -4.616856567977e-15 
   59       2.140818198342e-10       2.652076018019e-14      -2.118687743480e-13       1.480652670413e-16       3.913632965835e-11       4.599416550533e-12      -5.227364393602e-15 
   60       2.169581318655e-10       2.789171006352e-14      -2.521668496761e-13       1.531490042595e-16       3.766868019374e-11       4.446490779287e-12      -6.180266786575e-15 
   61       2.198727953845e-10       2.930064354729e-14      -2.941726149520e-13       1.583167682760e-16       3.627303171954e-11       4.295998805352e-12      -7.241771344414e-15 
   62       2.227697474475e-10       3.074770985527e-14      -3.379132702458e-13       1.635684449388e-16       3.494458341536e-11       4.152673250413e-12      -8.154931806402e-15 
   63       2.256852440571e-10       3.223182577175e-14      -3.834273834027e-13       1.689040193585e-16       3.367963892659e-11       4.018449305730e-12      -8.826967643620e-15 
   64       2.286663692879e-10       3.375163742976e-14      -4.307486741475e-13       1.743235367042e-16       3.247409273051e-11       3.893685053151e-12      -9.218318695898e-15 
   65       2.316859202078e-10       3.530645214865e-14      -4.798688623563e-13       1.798271333292e-16       3.132479327995e-11       3.775259331119e-12      -9.337202612551e-15 
   66       2.347063808186e-10       3.689563453979e-14      -5.307661727870e-13       1.854150067441e-16       3.022822192754e-11       3.659664809529e-12      -9.214304075227e-15 
   67       2.377451687977e-10       3.851815425259e-14      -5.834172374507e-13       1.910874286960e-16       2.918147829351e-11       3.547064223087e-12      -8.910642009285e-15 
   68       2.408293007052e-10       4.017284655992e-14      -6.377889540752e-13       1.968447223832e-16       2.818143521051e-11       3.438507841949e-12      -8.506469495454e-15 
   69       2.439573947980e-10       4.185866250591e-14      -6.938163760212e-13       2.026872431306e-16       2.722607151754e-11       3.334548993643e-12      -8.108279458462e-15 
   70       2.471191638501e-10       4.357452479918e-14      -7.514197859620e-13       2.086153915613e-16       2.631289889122e-11       3.235580497297e-12      -7.839515694293e-15 
   71       2.503051445770e-10       4.531940373028e-14      -8.105292781862e-13       2.146295973058e-16       2.543893933245e-11       3.141731477411e-12      -7.808100556073e-15 
   72       2.535153957965e-10       4.709273196496e-14      -8.711443551703e-13       2.207302489928e-16       2.460254308946e-11       3.052144516547e-12      -8.012037269333e-15 
   73       2.567523516647e-10       4.889406807411e-14      -9.332855439222e-13       2.269177541205e-16       2.380183566154e-11       2.965552206165e-12      -8.416237367870e-15 
   74       2.600184749985e-10       5.072293109157e-14      -9.969734404630e-13       2.331925269518e-16       2.303454203081e-11       2.880954976564e-12      -8.971749708201e-15 
   75       2.633170229290e-10       5.257865728718e-14      -1.062217254754e-12       2.395548785845e-16       2.229926207857e-11       2.799140544797e-12      -9.588663931752e-15 
   76       2.666513919430e-10       5.446051922702e-14      -1.129024467583e-12       2.460051088339e-16       2.159436875586e-11       2.721435410931e-12      -1.015774432653e-14 
   77       2.700234985589e-10       5.636755233723e-14      -1.197382387870e-12       2.525435047009e-16       2.091793828784e-11       2.648786055483e-12      -1.058695939031e-14 
   78       2.734293541341e-10       5.829786064411e-14      -1.267187729212e-12       2.591702287399e-16       2.026882642577e-11       2.580249456184e-12      -1.089411211630e-14 
   79       2.768626656501e-10       6.024918640033e-14      -1.338304503982e-12       2.658854117486e-16       1.964573665904e-11       2.514233509351e-12      -1.113026873676e-14 
   80       2.803183105693e-10       6.221916241993e-14      -1.410609181048e-12       2.726891624295e-16       1.904713028703e-11       2.449360191672e-12      -1.133137234516e-14 
   81       2.837993683235e-10       6.420547007828e-14      -1.484069115385e-12       2.795814919822e-16       1.847202942623e-11       2.385812264622e-12      -1.145104279150e-14 
   82       2.873112417101e-10       6.620570196916e-14      -1.558677214572e-12       2.865623763382e-16       1.791931621066e-11       2.324208432301e-12      -1.141640536471e-14 
   83       2.908581987460e-10       6.821746278160e-14      -1.634410726102e-12       2.936317741579e-16       1.738768747722e-11       2.265093689300e-12      -1.118634934751e-14 
   84       2.944390404581e-10       7.023885112274e-14      -1.711174079861e-12       3.007896137338e-16       1.687632673139e-11       2.208595221357e-12      -1.087402298027e-14 
   85       2.980507040234e-10       7.226805364590e-14      -1.788846661227e-12       3.080358030660e-16       1.638431608920e-11       2.154709733743e-12      -1.064461488409e-14 
   86       3.016906295817e-10       7.430329478107e-14      -1.867332401806e-12       3.153702513714e-16       1.591058753832e-11       2.103314050000e-12      -1.062353326260e-14 
   87       3.053602323218e-10       7.634313784971e-14      -1.946663696728e-12       3.227929267084e-16       1.545444852733e-11       2.053873770484e-12      -1.071948170321e-14 
   88       3.090619536657e-10       7.838623255171e-14      -2.026914088100e-12       3.303038067933e-16       1.501511939778e-11       2.005684955659e-12      -1.077342585379e-14 
   89       3.127976670700e-10       8.043136474987e-14      -2.108146166375e-12       3.379028930602e-16       1.459169659443e-11       1.958190798733e-12      -1.065546446642e-14 
   90       3.165669492144e-10       8.247789899291e-14      -2.190344287450e-12       3.455903112200e-16       1.418356883820e-11       1.911718053756e-12      -1.040484255210e-14 
   91       3.203685264955e-10       8.452540809197e-14      -2.273471894367e-12       3.533662261427e-16       1.379004889446e-11       1.866851755841e-12      -1.011121557611e-14 
   92       3.242009578209e-10       8.657327942473e-14      -2.357481054299e-12       3.612308571705e-16       1.341036774474e-11       1.824059785794e-12      -9.851887251344e-15 
   93       3.280631867721e-10       8.861987904041e-14      -2.442278139371e-12       3.691846223165e-16       1.304407873376e-11       1.783204622218e-12      -9.626086299570e-15 
   94       3.319540488532e-10       9.066326614164e-14      -2.527752961689e-12       3.772280165505e-16       1.269070113689e-11       1.743958555860e-12      -9.411087397258e-15 
   95       3.358720899275e-10       9.270144584655e-14      -2.613789010989e-12       3.853615692774e-16       1.234959023672e-11       1.705949842725e-12      -9.182045550480e-15 
   96       3.398160811701e-10       9.473217542335e-14      -2.700267172833e-12       3.935858796390e-16       1.202005183500e-11       1.668851627594e-12      -8.919610969172e-15 
   97       3.437866735253e-10       9.675235145654e-14      -2.787077766700e-12       4.019017263760e-16       1.170171733779e-11       1.632666447827e-12      -8.634167767755e-15 
   98       3.477849654017e-10       9.875853221151e-14      -2.874110046634e-12       4.103099757186e-16       1.139421298359e-11       1.597480937149e-12      -8.345041014005e-15 
   99       3.518119941249e-10       1.007471202747e-13      -2.961248446540e-12       4.188115497192e-16       1.109704030941e-11       1.563379079757e-12      -8.073180151034e-15 
  100       3.558683762591e-10       1.027149206339e-13      -3.048391530744e-12       4.274074198800e-16       1.080966008481e-11       1.530423555772e-12      -7.836553234643e-15 
  101       3.599531800847e-10       1.046609103513e-13      -3.135512033849e-12       4.360985841330e-16       1.053176662176e-11       1.498597183961e-12      -7.635503705650e-15 
  102       3.640648864159e-10       1.065847130119e-13      -3.222605148086e-12       4.448860890951e-16       1.026304431049e-11       1.467852889785e-12      -7.465406527351e-15 
  103       3.682017216555e-10       1.084860637278e-13      -3.309670403841e-12       4.537710387127e-16       1.000307979994e-11       1.438131050356e-12      -7.321118041978e-15 
  104       3.723620618840e-10       1.103644411185e-13      -3.396694495282e-12       4.627545490286e-16       9.751429371870e-12       1.409357647330e-12      -7.197508594649e-15 
  105       3.765457254274e-10       1.122178984011e-13      -3.483596783883e-12       4.718376028476e-16       9.507838225355e-12       1.381439304139e-12      -7.091172500516e-15 
  106       3.807528400131e-10       1.140440807888e-13      -3.570276685569e-12       4.810211776623e-16       9.272045069149e-12       1.354266828496e-12      -6.998924045182e-15 
  107       3.849834420138e-10       1.158405829729e-13      -3.656630305214e-12       4.903062910981e-16       9.043711885158e-12       1.327716187659e-12      -6.917263591891e-15 
  108       3.892373255144e-10       1.176050513665e-13      -3.742557865642e-12       4.996939393256e-16       8.822477196612e-12       1.301690520777e-12      -6.842958562251e-15 
  109       3.935135754974e-10       1.193355065509e-13      -3.827987174013e-12       5.091849016026e-16       8.608128878197e-12       1.276253294570e-12      -6.774889619404e-15 
  110       3.978109663014e-10       1.210300625354e-13      -3.912853157907e-12       5.187799115195e-16       8.400449511617e-12       1.251511795183e-12      -6.712431153103e-15 
  111       4.021280979123e-10       1.226868287746e-13      -3.997090711768e-12       5.284797171383e-16       8.199160956058e-12       1.227576265258e-12      -6.654881830787e-15 
  112       4.064636580389e-10       1.243039784062e-13      -4.080634520194e-12       5.382850348695e-16       8.003965487230e-12       1.204513663439e-12      -6.600784692649e-15 
  113       4.108172573204e-10       1.258799610353e-13      -4.163418418049e-12       5.481964043077e-16       7.814678977364e-12       1.182202302670e-12      -6.545794569734e-15 
  114       4.151886895634e-10       1.274133183009e-13      -4.245376023369e-12       5.582143152332e-16       7.631111145865e-12       1.160458874421e-12      -6.484537471195e-15 
  115       4.195776708571e-10       1.289026202183e-13      -4.326440983260e-12       5.683392518606e-16       7.453022714382e-12       1.139082652626e-12      -6.411256193518e-15 
  116       4.239837193136e-10       1.303464398859e-13      -4.406545202903e-12       5.785716901679e-16       7.280163725084e-12       1.117911645160e-12      -6.321875983361e-15 
  117       4.284057837955e-10       1.317432710762e-13      -4.485613208373e-12       5.889120902461e-16       7.112396786984e-12       1.096999696669e-12      -6.220504439598e-15 
  118       4.328425644876e-10       1.330916032473e-13      -4.563567165447e-12       5.993609023730e-16       6.949586243275e-12       1.076460224880e-12      -6.113709749857e-15 
  119       4.372926224233e-10       1.343899485329e-13      -4.640328647803e-12       6.099185688991e-16       6.791558744262e-12       1.056411650084e-12      -6.008527135611e-15 
  120       4.417543755962e-10       1.356368429270e-13      -4.715818658410e-12       6.205855238860e-16       6.638102192459e-12       1.036977472818e-12      -5.912468773853e-15 
  121       4.462263348638e-10       1.368308816762e-13      -4.789959708858e-12       6.313622437091e-16       6.488999593311e-12       1.018258783022e-12      -5.831718720240e-15 
  122       4.507078511396e-10       1.379708276092e-13      -4.862682286683e-12       6.422494063339e-16       6.344137332805e-12       1.000247986729e-12      -5.765457835431e-15 
  123       4.551984484994e-10       1.390555177410e-13      -4.933919186685e-12       6.532477500341e-16       6.203407610693e-12       9.829051089678e-13      -5.710892063284e-15 
  124       4.596975902823e-10       1.400838316455e-13      -5.003603558302e-12       6.643580241413e-16       6.066673903427e-12       9.661843157134e-13      -5.665003334705e-15 
  125       4.642046771523e-10       1.410546929186e-13      -5.071668943725e-12       6.755809890964e-16       5.933770193001e-12       9.500337674599e-13      -5.624544735220e-15 
  126       4.687189450189e-10       1.419670799103e-13      -5.138048339381e-12       6.869174717050e-16       5.804526391993e-12       9.343908683278e-13      -5.586221265989e-15 
  127       4.732391499571e-10       1.428200561747e-13      -5.202671180115e-12       6.983685378098e-16       5.678849487506e-12       9.191677215371e-13      -5.547265359086e-15 
  128       4.777638441029e-10       1.436127462143e-13      -5.265466086900e-12       7.099353391848e-16       5.556650091195e-12       9.042637576372e-13      -5.504917134082e-15 
  129       4.822914699638e-10       1.443443280339e-13      -5.326361843621e-12       7.216190605295e-16       5.437816490158e-12       8.895700135752e-13      -5.456241186227e-15 
  130       4.868203577299e-10       1.450140346727e-13      -5.385287427878e-12       7.334209199342e-16       5.322214072228e-12       8.749689517423e-13      -5.398123145816e-15 
  131       4.913489130469e-10       1.456211716420e-13      -5.442173149487e-12       7.453421709523e-16       5.209704922497e-12       8.603761911221e-13      -5.328537270548e-15 
  132       4.958762089791e-10       1.461651681162e-13      -5.496954139728e-12       7.573841080831e-16       5.100210225974e-12       8.458711816778e-13      -5.250511344587e-15 
  133       5.004014532353e-10       1.466455341981e-13      -5.549567299199e-12       7.695480627651e-16       4.993653553571e-12       8.315803762893e-13      -5.168585779288e-15 
